id,audio_file,reference,prediction,wer,cer,contest_type,wpm,condition,duration,used_chunking,is_noise_only
19,morse_000019.wav,CQ TEST,<|noise|> The<|noise|><|noise|> The<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.5,283.57142857142856,ARRLDX,21,contest_moderate,6.088125,False,False
83,morse_000083.wav,CQ CQ CQ,<|noise|> The<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,249.0,SPRINT,16,contest_good,11.0531875,False,False
96,morse_000096.wav,,<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,1.0,NOISE,0,contest_moderate,5.848,False,True
40,morse_000040.wav,CQ ARRLDX CQ ARRLDX DE F5MS F5MS K,<|noise|> The<|noise|><|noise|> The<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,58.411764705882355,ARRLDX,33,contest_poor,16.1421875,False,False
52,morse_000052.wav,CQ CQ,<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,399.6,ARRLDX,16,contest_moderate,7.03375,False,False
46,morse_000046.wav,CQ DE DI5FD K,<|noise|> The<|noise|><|noise|> The<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,152.76923076923077,CQWW,37,contest_poor,6.5656875,False,False
6,morse_000006.wav,4A, වවවවව වවවවවව වවවවවව වවවවවව වවවවව වවවවව වවවව වවවවව වවවව වවවව වවවව වවවව වවවව වවවව වවව වවව වවව වවව වවව වවව වව වව වව වව වව වව ව,27.0,61.5,FIELD_DAY,18,dx_expedition,3.4161875,False,False
72,morse_000072.wav,CQ DE VO9EZY K VO9EZY,<|noise|> The<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,94.85714285714286,IARU,23,contest_moderate,16.3178125,False,False
76,morse_000076.wav,F8?,<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,666.0,ARRLDX,15,contest_poor,5.5474375,False,False
77,morse_000077.wav,WY5A 599 ?,<|noise|> The<|noise|><|noise|> The<|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|><|noise|>,1.0,198.6,CQWW,35,contest_poor,7.17575,False,False
