id,audio_file,text,contest_type,sample_type,wpm,condition,duration
0,morse_000000.wav,JB0R8 599 ?,CQWW,partial,39,clean,5.64425
1,morse_000001.wav,TEST KW4ID KW4ID TEST,SWEEPSTAKES,cq,39,contest_moderate,6.60325
2,morse_000002.wav,IZ8NYL 599 ?,IARU,partial,24,contest_moderate,9.4866875
3,morse_000003.wav,TEST NO9K8 NO9K8 TEST NO9K8 DE VY0XBN 9174 DAVE NM K 8T251 SAM VT GL QSL TU SPRINT VY0XBN,SPRINT,qso,16,clean,81.2416875
4,morse_000004.wav,UB6EH 599 ?,CQWW,partial,36,dx_expedition,5.2595
5,morse_000005.wav,2E3HU 8582 ED OK,SPRINT,exchange,31,clean,8.6565625
6,morse_000006.wav,AD9B 599 13,IARU,exchange,19,contest_good,10.774625
7,morse_000007.wav,CQ CQ CQ DE VE6BW VE6BW VE6BW VE6BW JK3YQU T048 BILL IA 4425 RAY DC GL 73 GL JK3YQU TEST,SPRINT,qso,23,clean,57.520125
8,morse_000008.wav,NQ6RH 3944 ANN VA,SPRINT,exchange,34,dx_expedition,7.7805
9,morse_000009.wav,CQ CQ CQ DE JD3SF JD3SF JD3SF,IARU,cq,18,contest_poor,25.1864375
10,morse_000010.wav,RN4PKO 6867 A 42 WTX,SWEEPSTAKES,exchange,34,dx_expedition,9.74575
11,morse_000011.wav,JI4FED 7912 A 83 OH,SWEEPSTAKES,exchange,25,contest_poor,12.7741875
12,morse_000012.wav,CQ CQ CQ DE M69LZF M69LZF M69LZF M69LZF DE DF4NQK 569 KW K 599 100 GL QSL TU TEST DF4NQK,ARRLDX,qso,16,contest_moderate,86.831
13,morse_000013.wav,CQ CQ CQ DE JJ4NN JJ4NN JJ4NN JJ4NN 599 88 WG6H R 599 81 TU QSL TU TEST WG6H,IARU,qso,33,clean,36.0566875
14,morse_000014.wav,CQ CQ CQ DE AB5C AB5C AB5C AB5C PAT ID RG0LOK TU JOE OR AB5C 73 GL RG0LOK TEST,NAQP,qso,25,clean,46.0743125
