id,audio_file,reference,prediction,wer,cer,contest_type,wpm,condition,duration
47,morse_000047.wav,TEST NT6BL NT6BL TEST NT6BL EG1MZZ 7A NM QRZ? DE NT6BL NT6BL EG1MZZ 7A NM 2A IL GL 73 GL EG1MZZ TEST, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�,1.0,1.0,FIELD_DAY,27,contest_good,50.9134375
44,morse_000044.wav,CQ CQ CQ DE DF8GA DF8GA DF8GA, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�,1.0,2.5517241379310347,SPRINT,22,clean,20.5029375
48,morse_000048.wav,WB0?, Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Be,111.0,137.75,SPRINT,16,clean,5.0511875
11,morse_000011.wav,JI4FED 7912 A 83 OH, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�,1.0,3.8947368421052633,SWEEPSTAKES,25,contest_poor,12.7741875
45,morse_000045.wav,CQ TEST CQ TEST DE EC8NK EC8NK K, වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව,1.0,3.4375,CQWPX,29,contest_moderate,14.4891875
63,morse_000063.wav,M07AN 599 38, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�,1.0,6.166666666666667,CQWW,19,contest_poor,11.6413125
9,morse_000009.wav,CQ CQ CQ DE JD3SF JD3SF JD3SF, ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ �,10.571428571428571,4.862068965517241,IARU,18,contest_poor,25.1864375
38,morse_000038.wav,DI5GB 8279 PAUL MI, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�,1.0,4.111111111111111,SPRINT,26,contest_poor,10.9134375
99,morse_000099.wav,JS0RQ 599 4677, වවවවවව වවවවව වවවවවව වවවවවව වවවවව වවවවව වවවවව වවවවව වවවව වවවවව වවවවව වවවවව වවවව වවවව වවවව වවවව වවවව වවව වවව වවව වවව වවව වව,7.666666666666667,8.5,CQWPX,18,dx_expedition,14.454875
27,morse_000027.wav,EB5QMG 599 3825, වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව,1.0,7.333333333333333,CQWPX,29,clean,8.9931875
